BAN,BAN,Order ID ,Order ID 
BAN,145952409,Order ID ,1780588129
BAN,145947966,Order ID ,1874283962
BAN,145677306,Order ID ,1841071182
BAN,145623661,Order ID ,1891153635
BAN,145963652,Order ID ,1916765907
BAN,146817314,Order ID ,1931989832
BAN,146815674,Order ID ,2022400182
BAN,146819874,Order ID ,2022334278
BAN,146824945,Order ID ,2023069490
BAN,146732528,Order ID ,2008695774
BAN,146828999,Order ID ,2090690471
BAN,146827093,Order ID ,2090695655
BAN,146829808,Order ID ,2028259701
BAN,146829000,Order ID ,2023762254
BAN,143413231,Order ID ,1916980221
BAN,146732528,Order ID ,2008695774
BAN,146834556,Order ID ,2025269670
BAN,143560555,Order ID ,2022127614
BAN,146211362,Order ID ,2052897915
BAN,146507220,Order ID ,1882250456
BAN,146253924,Order ID ,1932490086
BAN,146646576,Order ID ,1994776566
BAN,146643716,Order ID ,1903440296
BAN,146669394,Order ID ,2063840231
BAN,146670096,Order ID ,2064029207
BAN,146846779,Order ID ,2055381411
BAN,146504398,Order ID ,2093867759
BAN,146829140,Order ID ,2026824986
BAN,146732528,Order ID ,2008695774
BAN,146849905,Order ID ,2031702237
BAN,146851912,Order ID ,1937838200
BAN,146793184,Order ID ,2094946055
BAN,146450575,Order ID ,2028235658
BAN,141927604,Order ID ,2034779925
BAN,146410884,Order ID ,2020973471
BAN,146340033,Order ID ,1949624037
BAN,146584112,Order ID ,1893677312
BAN,146108183,Order ID ,2036845799
BAN,146677444,Order ID ,1998985658
BAN,146739097,Order ID ,2075955311
BAN,146421860,Order ID ,1987818507
BAN,146596344,Order ID ,1983697346
BAN,146792894,Order ID ,2084493719
BAN,146108183,Order ID ,2036845799
BAN,146855963,Order ID ,2028036170
BAN,146625377,Order ID ,2020287843
BAN,145073443,Order ID ,2034434522
BAN,146060541,Order ID ,2064569643
BAN,146922117,Order ID ,1948995176
BAN,145914823,Order ID ,2028698238
BAN,146626417,Order ID ,1900664216
BAN,146940536,Order ID ,2046422349
BAN,146942877,Order ID ,2070372915
BAN,146216263,Order ID ,2043268610
BAN,146820732,Order ID ,2027307189
BAN,146929096,Order ID ,2107274063
BAN,146738481,Order ID ,2037696795
BAN,146929096,Order ID ,2107274063
BAN,146062667,Order ID ,2044059314
BAN,146638424,Order ID ,1994323062
BAN,146949511,Order ID ,1954160024
BAN,146948382,Order ID ,2071499403
BAN,146820148,Order ID ,1932493880
BAN,146738481,Order ID ,2037696795
BAN,144629915,Order ID ,1893864488
BAN,146952928,Order ID ,2043048246
BAN,144661557,Order ID ,1954471760
BAN,146951355,Order ID ,2043119646
BAN,146955014,Order ID ,1954614800
BAN,146949145,Order ID ,2044451402
BAN,146954359,Order ID ,2071794291
BAN,146950008,Order ID ,2048364717
BAN,144652675,Order ID ,2043331254
BAN,146103265,Order ID ,2044571138
