BAN,Order  
146764284,2079561479
147166786,2150077367
147258068,2102474618
147211272,2114136507
146836185,2091936959
147138266,2077175522
147284349,2012278232
146299736,2101364109
147250729,2097598086
147305464,2107290770
146619229,2101848078
147305470,2107474778
147310275,2102558502
147155094,2105394195
147328431,2113508301
147007479,2080940835
146815262,2051072403
146685513,1911158816
146823286,2089771631
147064212,1974080048
147132854,2072543526
147172126,2080160526
147159807,2085361101
147163649,1991594984
147176246,2085001706
147212316,1999823888
147144749,1988190176
146921066,2040046730
147093243,2069560178
147299144,2101373406
146595090,2106947039
147286761,2127098187
147306581,2130413571
147295448,2015429984
147219476,2087571390
147150200,2076283254
145790781,2140437387
147301906,2109195693
147384471,2142918579
147260198,2165258327
147312931,2110456461
146766243,2013345818
146795737,2022578109
147296931,2107688781
147274363,2103197066
144089275,2104704774
147302811,2015765576
145934730,2046882405
147328041,2020108304
147402622,2117936622
147311676,2102915310
147401081,2145126435
146502864,1967922314
147405202,2125588821
147406564,2125093442
147381797,2185470239
147405783,2190669215
147406899,2190694679
147223253,2015931776
147153696,2146619183
147324650,2133129483
147408214,2033586680
147404293,2190833951
147400533,2126285397
147329358,2020138352
147327704,2112738309
147406186,2191125311
147404663,2126043386
146855881,2058055851
147415081,2147147499
147412384,2191450799
147416167,2126693666
142086538,2037615314
143784793,2080834679
146648777,2115030075
147232854,2089295238
147063045,2130217346
147436687,2195663495
147440389,2195588327
147436814,2038772216
147248638,2097135314
147151183,2146481495
147458385,2198389343
147458390,2198611943
146682894,2066554799
147383040,2120234354
146771783,2081454791
145756119,2042332424
145345852,2154851523
140566090,2203122431
147213001,1792260649
146585914,2038923512
147338550,2135625987
147441373,2151954363
147407635,2126129709
147501311,2049039104
147271308,2103150453
147331485,2177943143
147300049,2015299808
147376403,2119887957
147492561,2159032491
147316258,2017765520
146829014,1933964144
146923838,2039225162
147471549,2043555512
147493111,2047080944
147299844,2106743234
147384807,2121163773
147429752,2149543827
147434581,2150864451
147430998,2194827407
146743502,2013444477
146752620,1920672608
146738995,2074945967
147003396,2120059079
147442948,2039113592
146926124,2137443366
146926122,2137485006
146927167,2145542978
147473024,2128165278
144390340,#FPS101540
146950008,1800469465
147470179,2156132979
147376668,2119480274
147081451,2095143867
147458062,2153947131
147477203,1790449609
146737833,2130498381
147300468,2106617690
147567360,2170306059
145101720,1800547876
145084721,1807139784
147153912,1989413096
147407277,2146072179
147230490,2158947479
147245707,2098793829
144964427,1788237360
147454488,2199867887
147403242,2124164546
147012523,2053061262
147053890,2129098847
147095531,2072144325
147080494,2134755839
145075551,2171448939
147398892,2189405207
147105998,2137605119
147321098,2175714671
147458184,2199934991
147179600,2080944822
147131907,2078641053
147213582,2115277203
147575339,2152819130
147575592,2217499583
147576385,2217434927
141443435,2132403885
145101720,1800547876
147457792,2198810831
145021611,2058434072
146673940,1997712626
147554119,1906346812
147464954,2128072542
140535315,2058385568
146100809,2132994525
144495263,2119621826
147566842,2151971738
147601386,2222308799
147608642,2158516994
147094856,2146885086
147620004,2139448989
147575591,2217322487
147623347,1909063084
146583582,2181360555
147137499,2228003279
144426971,2173391595
147437683,2196114623
147436687,2195663495
147316810,2019074984
147322405,2111814765
147400993,2189630855
147389718,2029433528
147378208,2121129165
147395064,2124018410
147403821,2118844782
147403821,2118844782
147434884,2195007743
147469604,1789307329
146381988,2015799863
147646432,2144412981
142395377,2183679339
147644868,2165659130
147650262,2184092715
147653071,2184054147
147248728,2092380198
147485818,2045950712
147660050,2185884291
147407173,2147510019
147427079,2149777443
147243512,2006008568
147415084,2191524215
147411349,2034085256
147480803,1790533297
147556760,2168503107
147010951,2082361323
147493521,2131553502
147459415,2042723072
147497824,2132858310
147404613,2033215880
146828999,2090690471
146948728,2042759550
146934824,2039520534
146732427,2009202726
146952004,2048497077
140589356,#FPS101660 
144390340,#FPS101640 
147580326,2142631422
142514700,2235481912
147556823,1820171424
147619958,2235868586
144906504,2235919471
147702197,2236041933
147704364,2235949022
147704739,2236051092
147075568,2065944794
147689502,2235942535
147701057,2236026434
147277799,2103126170
146161571,2235161797
147645336,2144107677
147657348,1914450988
147637127,2151661350
146161571,2236310761
147547928,2144781918
147727157,2238077774
146976548,2238064742
147441027,2123624934
146858929,2237981881
147721290,2238315801
147568708,2131837173
146164707,2238621115
147733566,2238904668
147306841,2111800418
147017077,2082403371
147694433,2235573535
146670870,2240489748
147301906,2109195693
147731647,2238306505
147462312,2041909760
147756644,2240858172
147304721,2101609110
147694442,2235202620
147762648,2241514382
144390340,2240163468
146962093,2112325295
142382645,2242370364
147775933,2242020979
147725019,2237719742
